Player,Season,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,WS,BPM,VORP
Cameron McGriff,2021-22,SF,POR,3.0,0.0,15.3,1.7,4.7,0.357,0.7,2.0,0.333,0.7,0.7,1.0,2.0,3.0,5.0,1.0,0.0,0.3,0.0,2.3,4.7,12.5,0.47,14.0,0.1,-4.0,0.0
James Bouknight,2021-22,SG,CHO,31.0,0.0,9.8,1.6,4.5,0.348,0.5,1.6,0.347,0.9,1.0,0.871,0.7,1.0,1.7,0.8,0.2,0.0,0.5,0.9,4.6,10.1,0.459,23.7,0.0,-7.1,-0.4
Maurice Harkless,2021-22,SF,SAC,47.0,24.0,18.4,1.8,3.9,0.459,0.7,2.1,0.307,0.4,0.6,0.714,0.3,2.1,2.4,0.5,0.6,0.5,0.7,1.6,4.6,7.7,0.561,11.2,0.5,-3.3,-0.3
Svi Mykhailiuk,2021-22,SF,TOR,56.0,5.0,12.8,1.6,4.2,0.389,0.7,2.4,0.306,0.6,0.7,0.865,0.4,1.3,1.6,0.8,0.5,0.1,0.6,1.0,4.6,9.6,0.509,16.9,0.8,-2.9,-0.2
Romeo Langford,2021-22,SG,2TM,48.0,5.0,16.1,1.7,4.0,0.435,0.6,1.8,0.341,0.5,0.9,0.548,0.6,1.6,2.3,0.4,0.5,0.3,0.3,1.0,4.5,9.2,0.52,12.9,1.3,-1.4,0.1
Khem Birch,2021-22,C,TOR,55.0,28.0,18.0,1.8,3.6,0.485,0.0,0.3,0.0,1.0,1.3,0.746,2.2,2.1,4.3,1.0,0.5,0.5,0.5,1.9,4.5,13.2,0.534,11.2,2.6,-1.3,0.2
Marquese Chriss,2021-22,PF,DAL,34.0,0.0,10.2,1.8,3.9,0.463,0.2,0.7,0.32,0.6,1.0,0.667,1.0,2.1,3.0,0.5,0.4,0.4,0.5,1.9,4.5,14.8,0.518,21.5,0.8,-3.8,-0.2
Louis King,2021-22,SF,SAC,10.0,0.0,10.4,1.5,4.7,0.319,0.8,2.7,0.296,0.7,1.0,0.7,0.0,1.2,1.2,0.9,0.2,0.1,0.0,1.4,4.5,8.1,0.438,21.2,0.0,-4.6,-0.1
Taj Gibson,2021-22,C,NYK,52.0,4.0,18.2,1.7,3.2,0.518,0.3,0.7,0.395,0.8,1.0,0.808,1.7,2.7,4.4,0.6,0.4,0.8,0.5,2.6,4.4,12.0,0.606,10.0,2.7,-2.0,0.0
Timoth̩ Luwawu-Cabarrot,2021-22,SF,ATL,52.0,18.0,13.2,1.4,3.6,0.398,0.8,2.3,0.361,0.7,0.8,0.854,0.3,1.3,1.6,0.8,0.3,0.1,0.4,1.5,4.4,9.3,0.556,14.3,0.9,-3.3,-0.2
Moses Moody,2021-22,SG,GSW,52.0,11.0,11.7,1.5,3.5,0.437,0.8,2.1,0.364,0.5,0.7,0.778,0.3,1.2,1.5,0.4,0.1,0.2,0.3,0.8,4.4,10.5,0.573,15.2,1.3,-2.5,-0.1
Jabari Parker,2021-22,PF,BOS,12.0,0.0,9.3,1.5,3.2,0.474,0.7,1.3,0.5,0.8,0.8,1.0,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4,14.8,0.632,19.6,0.3,0.7,0.1
Davon Reed,2021-22,SG,DEN,48.0,5.0,13.9,1.7,3.4,0.503,0.8,1.8,0.43,0.2,0.3,0.667,0.3,2.0,2.3,1.1,0.5,0.2,0.3,1.3,4.4,12.2,0.624,12.1,1.6,-0.3,0.3
